"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"0","HORTICULTURE","Plantation Crops","Coconut","","Fertilizer recommendation of coconut","Fertilizer recommendation of coconut
Recommended to apply
urea-500gm
rajphos -750gm
muriate of potash -1kg
","KERALA","PALAKKAD","TRITHALA                                          ","2018-10-17 08:46:02.203"
"0","HORTICULTURE","Plantation Crops","Coconut","","Fertilizer recommendation of coconut","Fertilizer recommendation of coconut
Recommended to apply
urea-500gm
rajphos -750gm
muriate of potash -1kg
","KERALA","PALAKKAD","TRITHALA                                          ","2018-10-17 08:46:02.203"
"0","AGRICULTURE","Others","Others","","Weather report of sholayur","Weather report of sholayur
Precipitation 80%
humidity 79%
wind 18km/hr
","KERALA","PALAKKAD","ATTAPPADI                                         ","2018-10-17 17:04:50.683"
"0","AGRICULTURE","Others","Others","","Weather report of sholayur","Weather report of sholayur
Precipitation 80%
humidity 79%
wind 18km/hr
","KERALA","PALAKKAD","ATTAPPADI                                         ","2018-10-17 17:04:50.683"
"0","HORTICULTURE","Plantation Crops","Coconut","","Bordeaux Mixture preparation","Bordeaux Mixture preparation
 100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)","KERALA","PALAKKAD","OTTAPPALAM                                        ","2018-10-18 09:41:53.970"
"0","HORTICULTURE","Plantation Crops","Coconut","","Bordeaux Mixture preparation","Bordeaux Mixture preparation
 100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)","KERALA","PALAKKAD","OTTAPPALAM                                        ","2018-10-18 09:41:53.970"
"0","HORTICULTURE","Plantation Crops","Coconut","","fungal attack in coconut","Recommended to apply Bordeaux Mixture
 100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)","KERALA","PALAKKAD","SREEKRISHNAPURAM                                  ","2018-10-18 13:00:35.873"
"0","HORTICULTURE","Plantation Crops","Coconut","","fungal attack in coconut","Recommended to apply Bordeaux Mixture
 100 g CuSo4  Dissolve in 5L of water and 100 g lime dissolve in another 5 L of water  and slowly  add the CuSo4 Solution in lime solution.( note : prepared only in Plastic vessel)","KERALA","PALAKKAD","SREEKRISHNAPURAM                                  ","2018-10-18 13:00:35.873"
"0","HORTICULTURE","Condiments and Spices","Nutmeg","","Fertilizer recommendation of nutmeg","Fertilizer recommendation of nutmeg
Recommended to apply
urea-20gm
rock phosphate -50gm
muriate of potash -40gm
","KERALA","PALAKKAD","SREEKRISHNAPURAM                                  ","2018-10-18 13:02:25.883"
"0","HORTICULTURE","Condiments and Spices","Nutmeg","","Fertilizer recommendation of nutmeg","Fertilizer recommendation of nutmeg
Recommended to apply
urea-20gm
rock phosphate -50gm
muriate of potash -40gm
","KERALA","PALAKKAD","SREEKRISHNAPURAM                                  ","2018-10-18 13:02:25.883"
